file,class,sampling_rate,num_samples,delta,K,variance,H_Q,h_hat,H_max,h_Gauss,gap_h_Gauss_minus_h_hat
music6.wav,music,48000,432000,0.5,4,0.019584305208726182,1.0601652658400125,0.06016526584001247,2.0,-0.7899835363131071,-0.8501488021531196
music7.wav,music,48000,432000,0.5,4,0.0029922572083606862,1.0004581518094322,0.0004581518094322057,2.0,-2.14517946130273,-2.145637613112162
music8.wav,music,48000,432000,0.5,4,0.009103564142738302,1.006087894321315,0.006087894321314957,2.0,-1.3425808139258428,-1.3486687082471578
music9.wav,music,48000,432000,0.5,4,0.029274026141547536,1.1067698001451247,0.10676980014512472,2.0,-0.5000219209981196,-0.6067917211432443
noise1.wav,noise,48000,432000,0.5,4,6.947861687972802e-06,0.9916138855849675,-0.008386114415032453,2.0,-6.52040418227752,-6.5120180678624875
noise10.wav,noise,48000,432000,0.5,4,7.2006705260779e-06,0.9928126020383503,-0.007187397961649689,2.0,-6.494623071231366,-6.487435673269717
noise2.wav,noise,48000,432000,0.5,4,7.033766784125519e-06,0.9914527721126739,-0.008547227887326092,2.0,-6.511539949043015,-6.502992721155689
noise3.wav,noise,48000,432000,0.5,4,6.898330463558524e-06,0.9902327080225648,-0.0097672919774352,2.0,-6.525565078201998,-6.515797786224563
noise4.wav,noise,48000,432000,0.5,4,6.835326287860868e-06,0.9905896546714308,-0.009410345328569214,2.0,-6.532183595844255,-6.5227732505156855
noise5.wav,noise,48000,432000,0.5,4,6.992243966520284e-06,0.9908676832078731,-0.009132316792126893,2.0,-6.515810938072731,-6.506678621280604
noise6.wav,noise,48000,432000,0.5,4,6.7104003231075645e-06,0.9893558998474763,-0.010644100152523706,2.0,-6.545489281474798,-6.534845181322274
noise7.wav,noise,48000,432000,0.5,4,6.815763926547787e-06,0.9914104253267149,-0.008589574673285139,2.0,-6.534251016140371,-6.525661441467086
noise8.wav,noise,48000,432000,0.5,4,7.02759898453184e-06,0.9921621527153931,-0.007837847284606902,2.0,-6.5121727648451255,-6.504334917560518
noise9.wav,noise,48000,432000,0.5,4,7.478382918954829e-06,0.9945011242099245,-0.005498875790075464,2.0,-6.467325527460988,-6.461826651670913
