file,class,sampling_rate,delta,lag_samples,lag_seconds,K,mutual_information_bits
noise2.wav,noise,48000,0.1,100,0.0020833333333333333,20,0.06954542631078099
noise3.wav,noise,48000,0.1,100,0.0020833333333333333,20,0.07303866438830137
noise4.wav,noise,48000,0.1,100,0.0020833333333333333,20,0.07850295002597205
noise5.wav,noise,48000,0.1,100,0.0020833333333333333,20,0.07431501723800052
noise6.wav,noise,48000,0.1,100,0.0020833333333333333,20,0.07616470131049581
noise7.wav,noise,48000,0.1,100,0.0020833333333333333,20,0.07146880599521793
noise8.wav,noise,48000,0.1,100,0.0020833333333333333,20,0.06461812895486195
noise9.wav,noise,48000,0.1,100,0.0020833333333333333,20,0.055573083890214384
music1.wav,music,48000,0.1,1000,0.020833333333333332,20,0.01856822886075813
music10.wav,music,48000,0.1,1000,0.020833333333333332,20,0.01562888879785838
music2.wav,music,48000,0.1,1000,0.020833333333333332,20,0.014622826548461488
music3.wav,music,48000,0.1,1000,0.020833333333333332,20,0.002756985022272983
music4.wav,music,48000,0.1,1000,0.020833333333333332,20,0.011827016463071799
music5.wav,music,48000,0.1,1000,0.020833333333333332,20,0.005107129763972955
music6.wav,music,48000,0.1,1000,0.020833333333333332,20,0.018728671165923208
music7.wav,music,48000,0.1,1000,0.020833333333333332,20,0.005459326918919226
music8.wav,music,48000,0.1,1000,0.020833333333333332,20,0.013162744284590895
music9.wav,music,48000,0.1,1000,0.020833333333333332,20,0.017916699641861968
noise1.wav,noise,48000,0.1,1000,0.020833333333333332,20,0.17717408946131596
noise10.wav,noise,48000,0.1,1000,0.020833333333333332,20,0.16486698136144276
noise2.wav,noise,48000,0.1,1000,0.020833333333333332,20,0.17933713585080996
noise3.wav,noise,48000,0.1,1000,0.020833333333333332,20,0.18898553183685307
noise4.wav,noise,48000,0.1,1000,0.020833333333333332,20,0.19349896403920352
noise5.wav,noise,48000,0.1,1000,0.020833333333333332,20,0.18762054276282505
noise6.wav,noise,48000,0.1,1000,0.020833333333333332,20,0.1925039532207926
noise7.wav,noise,48000,0.1,1000,0.020833333333333332,20,0.18168837103724855
noise8.wav,noise,48000,0.1,1000,0.020833333333333332,20,0.1806802265512034
noise9.wav,noise,48000,0.1,1000,0.020833333333333332,20,0.15565950425362482
