n,log_hit_rate_A,log_hit_rate_B,hit_rate_A,hit_rate_B
60,-81.90517060694486,-81.90517060694486,2.685569314931589e-36,2.685569314931589e-36
61,-83.73891436353271,-83.73891436353271,4.291919536392073e-37,4.291919536392073e-37
62,-85.5807222867005,-85.5807222867005,6.804003895560649e-38,6.804003895560649e-38
63,-87.4304663846348,-87.4304663846348,1.0701161020101408e-38,1.0701161020101408e-38
64,-89.28802266477072,-89.28802266477072,1.6699538010382586e-39,1.6699538010382586e-39
65,-91.15327094924098,-91.15327094924098,2.5860529881255506e-40,2.5860529881255506e-40
66,-93.0260947015077,-93.0260947015077,3.9744807524061314e-41,3.9744807524061314e-41
67,-94.9063808633425,-94.9063808633425,6.062929156185835e-42,6.062929156185835e-42
68,-96.79401970139435,-96.79401970139435,9.181029068818542e-43,9.181029068818542e-43
69,-98.6889046626503,-98.6889046626503,1.3802357750948509e-43,1.3802357750948509e-43
70,-100.59093223815424,-100.59093223815424,2.0602181053567902e-44,2.0602181053567902e-44
71,-102.50000183440218,-102.50000183440218,3.0536187121547204e-45,3.0536187121547204e-45
72,-104.41601565188085,-104.41601565188085,4.494698655959353e-46,4.494698655959353e-46
73,-106.3388785702611,-106.3388785702611,6.570702817102585e-47,6.570702817102585e-47
74,-108.26849803979553,-108.26849803979553,9.540886674096192e-48,9.540886674096192e-48
75,-110.20478397850798,-110.20478397850798,1.3761647799420567e-48,1.3761647799420567e-48
76,-112.14764867479245,-112.14764867479245,1.9719460186889532e-49,1.9719460186889532e-49
77,-114.0970066950722,-114.0970066950722,2.8073695862305326e-50,2.8073695862305326e-50
78,-116.05277479619258,-116.05277479619258,3.971186618967243e-51,3.971186618967243e-51
79,-118.01487184224976,-118.01487184224976,5.5820327012742226e-52,5.5820327012742226e-52
80,-119.98321872557702,-119.98321872557702,7.797406692613398e-53,7.797406692613398e-53
81,-121.95773829163271,-121.95773829163271,1.0824983287914647e-53,1.0824983287914647e-53
82,-123.9383552675518,-123.9383552675518,1.4936753404004e-54,1.4936753404004e-54
83,-125.9249961941399,-125.9249961941399,2.0486559019604517e-55,2.0486559019604517e-55
84,-127.91758936110566,-127.91758936110566,2.7931663549107994e-56,2.7931663549107994e-56
85,-129.91606474534072,-129.91606474534072,3.785907253725034e-57,3.785907253725034e-57
